archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,duplicateDetails,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature+moisture,N/A,europe_germ020,FE23_europe_germ020,N/A,900.0,51.71666717529297,10.566666603088379,AndreasbergHarzSchluft,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ020.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PCAB,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_germ043w,FE23_europe_germ043w,N/A,440.0,48.08333206176758,7.683333396911621,"Kaiserstuhl(D),EU-Pr.",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ043w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,ABAL,standardized_anomalies,CE
tree,moisture,N/A,europe_germ044w,FE23_europe_germ044w,N/A,390.0,47.83333206176758,7.699999809265137,"Sulzbach-Tal(D),EU-Pr.",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ044w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_germ045w,FE23_europe_germ045w,N/A,390.0,47.83333206176758,7.699999809265137,"Sulzbach-Tal(D),EU-Pr.",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ045w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,ABAL,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_germ052w,FE23_europe_germ052w,N/A,1250.0,47.849998474121094,8.033333778381348,"Seehalde(D),EU-Pr.",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ052w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_germ053w,FE23_europe_germ053w,N/A,490.0,47.849998474121094,7.7833333015441895,"Münstertal(D),EU-Pr.",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ053w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_germ054w,FE23_europe_germ054w,N/A,490.0,47.849998474121094,7.7833333015441895,"Münstertal(D),EU-Pr.",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ054w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,ABAL,standardized_anomalies,CE
tree,moisture,N/A,europe_germ3,FE23_europe_germ3,N/A,910.0,47.81666564941406,7.766666889190674,Munstertal,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ3.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Becker,TRW,ABAL,standardized_anomalies,CE
tree,moisture,N/A,europe_gree001,FE23_europe_gree001,N/A,1750.0,39.79999923706055,21.21666717529297,KataraPassMetsovan,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/gree001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PILE,standardized_anomalies,CE
tree,moisture,N/A,europe_gree007,FE23_europe_gree007,N/A,1500.0,40.29999923706055,20.899999618530273,ScotidaForestKastoria,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/gree007.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Kuniholm,TRW,ABCE,standardized_anomalies,CE
tree,moisture,N/A,europe_gree008,FE23_europe_gree008,N/A,1500.0,40.29999923706055,20.899999618530273,ScotidaForestKastoria,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/gree008.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Kuniholm,TRW,PINI,standardized_anomalies,CE
tree,moisture,N/A,europe_gree011,FE23_europe_gree011,N/A,1320.0,41.66666793823242,24.883333206176758,ZagradeniyeForest,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/gree011.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Kuniholm,TRW,PINI,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_ital013,FE23_europe_ital013,N/A,1800.0,37.78333282470703,15.050000190734863,AetnaLinguaglossa,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital013.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PINI,standardized_anomalies,CE
tree,moisture,N/A,europe_lith003,FE23_europe_lith003,N/A,10.0,55.54999923706055,21.116666793823242,Juodkrante,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith003.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Vitas,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_lith005,FE23_europe_lith005,N/A,60.0,54.75,23.600000381469727,Jure-ne,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith005.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Vitas,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_lith008,FE23_europe_lith008,N/A,60.0,55.849998474121094,24.46666717529297,Klimbale,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith008.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Vitas,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_lith009,FE23_europe_lith009,N/A,100.0,55.66666793823242,25.21666717529297,Simonys,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith009.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Vitas,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_lith011,FE23_europe_lith011,N/A,25.0,55.06666564941406,22.483333587646484,Viesvile,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith011.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Vitas,TRW,QURO,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_lith019,FE23_europe_lith019,N/A,130.0,54.400001525878906,22.983333587646484,Graziskiai,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith019.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Vitas,TRW,LADE,standardized_anomalies,CE
tree,moisture,N/A,europe_lith021,FE23_europe_lith021,N/A,140.0,54.400001525878906,23.450000762939453,Bukta,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith021.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Vitas,TRW,LADE,standardized_anomalies,CE
