datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
iso2k_1528,Wood,TR12SAMU,1850.0,21.670000076293945,104.0999984741211,"Mu Cang Chai, Northern Vietnam",negative,May-Oct,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: Seasonal",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Tree ring cellulose (TR); archiveType changed - was originally Tree ring cellulose,d18O,nan,permil,d18O,CE
iso2k_1529,Wood,TR12SAMU,1850.0,21.670000076293945,104.0999984741211,"Mu Cang Chai, Northern Vietnam",N/A,May-Oct,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: soil moisture",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Tree ring cellulose (TR); archiveType changed - was originally Tree ring cellulose,d18O,nan,z score,d18O,CE
iso2k_1530,Coral,CO05KUBE,-12.0,32.46699905395508,-64.69999694824219,"North East Breakers, Bermuda",decrease,subannual,temperature,sea@surface,http://doi.pangaea.de/10.1594/PANGAEA.738188,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Diploria strigosa,permil,d18O,CE
iso2k_1534,GlacierIce,IC06VIGR,3238.0,72.30000305175781,-37.400001525878906,GRIP Full,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/2494,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1542,GlacierIce,IC10VIGI,3203.0,72.5999984741211,-38.5,GISP2 Summer,positive,Annual,temperature,air@surface,http://www.iceandclimate.nbi.ku.dk/data/Vinther_etal_2010_data_02feb2010.xls,Iso2k v1.1.2,; archiveType changed  was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_1545,GlacierIce,IC10VIGI,3203.0,72.5999984741211,-38.5,GISP2 Summer,N/A,N/A,N/A,N/A,http://www.iceandclimate.nbi.ku.dk/data/Vinther_etal_2010_data_02feb2010.xls,Iso2k v1.1.2,; archiveType changed  was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_1554,Coral,CO00KUNI,-3.0,-21.905000686645508,113.96499633789062,"Ningaloo Reef, West Australia",N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/1867,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1556,Coral,CO00KUNI,-3.0,-21.905000686645508,113.96499633789062,"Ningaloo Reef, West Australia",N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/1867,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1557,Wood,TR15NACA,500.0,54.560001373291016,-71.19999694824219,QuebecLabrador,positive,Jun-Aug,temperature,"Maximum air temperature, seasonal",this compilation,Iso2k v1.1.2,; archiveType changed  was originally Tree ring cellulose (TR),d18O,nan,permil,d18O,CE
iso2k_1559,Coral,CO05ASGU,-7.800000190734863,13.597999572753906,144.83599853515625,Guam Coral,decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1915,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Porites lobata,permil,d18O,CE
iso2k_1563,LakeSediment,LS09LACA,976.0,18.797500610351562,-70.87580108642578,Laguna Castilla,negative,N/A,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: lake water",https://www.ncdc.noaa.gov/paleo/study/23095,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_1566,LakeSediment,LS15SHBO,97.0,6.5,-1.416700005531311,Lake Bosumtwi,decrease,Summer,N/A,"Original interpretation_variable: circulationVariable, interpretation_variableDetail: N/A",https://www.ncdc.noaa.gov/paleo/study/18355,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS); archiveType changed - was originally Lake sediment (LS),dD,nan,permil,d2H,CE
iso2k_1569,Coral,CO99LICL,-8.199999809265137,10.277299880981445,-109.21309661865234,Clipperton Atoll,N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1846,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1571,Coral,CO99LICL,-8.199999809265137,10.277299880981445,-109.21309661865234,Clipperton Atoll,N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1846,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1573,Coral,CO99LICL,-8.199999809265137,10.277299880981445,-109.21309661865234,Clipperton Atoll,decrease,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1846,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Porites lobata,permil,d18O,CE
iso2k_1575,GlacierIce,IC13PALD,1370.0,-66.7699966430664,112.80999755859375,DSS Law Dome,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo-search/study/22589,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1577,GlacierIce,IC10VIGR,3200.0,72.58000183105469,-37.63999938964844,GRIP,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.786354,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1579,GlacierIce,IC11KIPW,2030.0,78.4000015258789,-80.4000015258789,Prince-of-Wales,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22542,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1581,Coral,CO98BOFP,-5.0,-17.5,-149.8332977294922,"Moorea, French Polynesia",decrease/increase,subannual,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1876,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,lutea,permil,d18O,CE
iso2k_1587,Sclerosponge,SS05ROES,-136.0,23.670000076293945,-75.75,Exuma Sound Bahamas,decrease,Annual,temperature,"subsurface, 136 m",https://www.ncdc.noaa.gov/paleo/study/1920,Iso2k v1.1.2,; climateInterpretation_seasonality changed - was originally annual; archiveType changed - was originally Sclerosponge (SS),d18O,Ceratoporella nicholsoni,permil,d18O,CE
iso2k_1590,GroundIce,IW17OPOY,10.0,72.69999694824219,143.5,Oyogos Yar,positive,Dec-May,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.873563,Iso2k v1.1.2,; archiveType changed - was originally Ice Wedge (IW); archiveType changed - was originally Ice Wedge (IW),d18O,nan,permil,d18O,CE
iso2k_1593,Wood,TR13BROA,250.0,16.649999618530273,-95.0,"Nizanda, S Mexico",negative,Annual,moisture,"Original interpretation_variable: precipitationIsotope, interpretation_variableDetail: precipitation amount",this compilation,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
