archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,Asia-BULGLS,pages2k_Asia_143,1100.0,47.1,90.97,MONG019,https://www.ncdc.noaa.gov/paleo/study/12652,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Aus-StewartIslan.DArrigo.1995,pages2k_Aus_067,450.0,-47.0,167.8,Stewart Island,https://www.ncdc.noaa.gov/paleo/study/1003992,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally 9 10 11 12 1 2 3 4,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-cana437,pages2k_NAm_2152,2000.0,52.6,-117.9,Geraldine Lakes,https://www.ncdc.noaa.gov/paleo/study/16595,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCEN,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-PacificLinsley2006Rarotongad18O2R,pages2k_Ocean2kHR_147,-18.3,-21.2378,-159.8278,Rarotonga,"http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:964510793893801::::P1_STUDY_ID:6089,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/rarotonga2006.txt",PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally monthly,d18O,lutea,permil,CE
tree,temperature,air@surface,Asia-KOKKIY,pages2k_Asia_137,69.0,42.42,78.97,KYRG014,https://www.ncdc.noaa.gov/paleo/study/15249,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-ca534,pages2k_NAm_664,3475.0,37.2,-118.1,Sheep Mountain,https://www.ncdc.noaa.gov/paleo/study/3407,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,PILO,N/A,CE
tree,temperature,air@surface,NAm-mt116,pages2k_NAm_2812,2645.0,46.3,-113.2,Flint Creek Range,https://www.ncdc.noaa.gov/paleo/study/3566,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,LALY,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-AtlanticBiscayneBaySwart1996,pages2k_Ocean2kHR_118,-10.0,25.38,-80.17,Biscayne Bay,https://www.ncdc.noaa.gov/paleo/study/1885,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally monthly,d18O,faveolata,permil,CE
lake sediment,temperature,lake@surface,Arc-BrayaSo.DAndrea.2011,pages2k_Arc_042,170.0,67.0,-50.7,Braya Sø,https://www.ncdc.noaa.gov/paleo/study/11176,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,alkenone,N/A,degC,CE
glacier ice,temperature,air@condensationLevel,Ant-PlateauRemot.Cole-Dai.1996,pages2k_Ant_023,3330.0,-84.0,43.0,Plateau Remote,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core,d18O,N/A,permil,CE
