archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,Asia-DEORLA,pages2k_Asia_170,3600.0,28.38,83.7,NEPA015,https://www.ncdc.noaa.gov/paleo/study/3772,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-SMASLY,pages2k_Asia_076,2900.0,27.62,99.8,CHIN026,https://www.ncdc.noaa.gov/paleo/study/12607,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
lake sediment,temperature,lake@surface,Africa-LakeTanganyi.Tierney.2010,pages2k_Africa_004,905.0,-6.03,28.53,Lake Tanganyika,https://www.ncdc.noaa.gov/paleo/study/10428,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),"Analytical error on the basis of duplicate measurements (and corrected for n=2) was ±0,1°C. This error is compounded with the leave-one-out calibration error 0,4°C to give a total 95% error of ±0,4°C.",TEX86,N/A,degC,CE
tree,temperature,air@surface,NAm-ak010,pages2k_NAm_148,960.0,61.8,-147.3,Eureka Summit,https://www.ncdc.noaa.gov/paleo/study/4409,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCGL,N/A,CE
tree,temperature,air@surface,NAm-ak010,pages2k_NAm_160,960.0,61.8,-147.3,Eureka Summit,https://www.ncdc.noaa.gov/paleo/study/4409,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCGL,N/A,CE
tree,temperature,air@surface,Asia-NASPTD,pages2k_Asia_026,2100.0,27.67,90.73,BT002,https://www.ncdc.noaa.gov/paleo/study/12485,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-ak058,pages2k_NAm_244,213.0,65.2,-162.2,Almond Butter Upper,https://www.ncdc.noaa.gov/paleo/study/3044,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCGL,N/A,CE
glacier ice,temperature,air@condensationLevel,Ant-MES.Bertler.2012,pages2k_Ant_033,1600.0,-77.515,167.6765,MES,https://www.ncdc.noaa.gov/paleo/study/13175,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core,d2H,N/A,permil,CE
glacier ice,temperature,air@condensationLevel,Arc-GRIP.Vinther.2010,pages2k_Arc_035,3238.0,72.58,-37.64,GRIP,https://doi.pangaea.de/10.1594/PANGAEA.786354,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; archiveType changed - was originally ice core,d18O,N/A,permil,CE
glacier ice,temperature,air@condensationLevel,Ant-USITASE20001.Steig.2013,pages2k_Ant_037,1791.0,-79.3838,-111.24,US-ITASE-2000-1,http://dx.doi.org/10.7265/N5QJ7F8B,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Subannual values; archiveType changed - was originally ice core,d18O,N/A,permil,CE
