archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Pink Panther cave,sisal_613.0_379,1900.0,32.0,-105.2,Pink Panther cave,10.1130/G22865A.1,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Pink Panther cave,sisal_613.0_380,1900.0,32.0,-105.2,Pink Panther cave,10.1130/G22865A.1,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Kesang cave,sisal_620.0_381,2000.0,42.87,81.75,Kesang cave,10.1016/j.quascirev.2016.12.014,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Kesang cave,sisal_621.0_382,2000.0,42.87,81.75,Kesang cave,10.1016/j.quascirev.2016.12.014,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Kesang cave,sisal_623.0_383,2000.0,42.87,81.75,Kesang cave,10.1016/j.quascirev.2016.12.014,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,La Garma cave,sisal_650.0_384,85.0,43.4306,-3.6658,La Garma cave,10.1016/j.epsl.2015.03.015,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,La Garma cave,sisal_650.0_385,85.0,43.4306,-3.6658,La Garma cave,10.1016/j.epsl.2015.03.015,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Tham Doun Mai,sisal_672.0_386,352.0,20.75,102.65,Tham Doun Mai,10.1016/j.epsl.2019.115737,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Tham Doun Mai,sisal_672.0_387,352.0,20.75,102.65,Tham Doun Mai,10.1016/j.epsl.2019.115737,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Tham Doun Mai,sisal_672.0_388,352.0,20.75,102.65,Tham Doun Mai,10.1016/j.epsl.2019.115737,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Hollywood cave,sisal_673.0_389,100.0,-41.95,171.47,Hollywood cave,10.1016/j.epsl.2004.10.024,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Hollywood cave,sisal_673.0_390,100.0,-41.95,171.47,Hollywood cave,10.1016/j.epsl.2004.10.024,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Hollywood cave,sisal_673.0_391,100.0,-41.95,171.47,Hollywood cave,10.1016/j.epsl.2004.10.024,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Jaraguá cave,sisal_707.0_392,570.0,-21.083,-56.583,Jaraguá cave,10.1016/j.epsl.2019.115717,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Jaraguá cave,sisal_707.0_393,570.0,-21.083,-56.583,Jaraguá cave,10.1016/j.epsl.2019.115717,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Jaraguá cave,sisal_707.0_394,570.0,-21.083,-56.583,Jaraguá cave,10.1016/j.epsl.2019.115717,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Shennong cave,sisal_723.0_395,383.0,28.71,117.26,Shennong cave,10.1016/j.quascirev.2021.106911,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Shennong cave,sisal_723.0_396,383.0,28.71,117.26,Shennong cave,10.1016/j.quascirev.2021.106911,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Shennong cave,sisal_723.0_397,383.0,28.71,117.26,Shennong cave,10.1016/j.quascirev.2021.106911,SISAL v3,calcite,growth rate,N/A,mm/year,CE
