datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
FE23_southamerica_arge009,Wood,southamerica_arge009,820.0,-42.95,-71.43333333333334,EstanciaTeresa,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge009-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,AUCH,standardized_anomalies,ring width,CE
FE23_southamerica_arge010,Wood,southamerica_arge010,710.0,-41.983333333333334,-71.25,ElMaiten,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge010-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,AUCH,standardized_anomalies,ring width,CE
FE23_southamerica_arge011,Wood,southamerica_arge011,1250.0,-38.86666666666667,-71.25,LagoMoquehue,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge011-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge012,Wood,southamerica_arge012,1160.0,-38.88333333333333,-71.16666666666667,AngosturaLagoAlumine,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge012-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge013,Wood,southamerica_arge013,1110.0,-38.983333333333334,-71.05,LoncoLuan,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge013-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge015,Wood,southamerica_arge015,1620.0,-38.88333333333333,-70.61666666666666,PrimerosPinosdeAlumine,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge015-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge016,Wood,southamerica_arge016,650.0,-43.016666666666666,-71.56666666666666,LagunaTerraplen,N/A,N/A,temperature,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge016-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,AUCH,standardized_anomalies,ring width,CE
FE23_southamerica_arge017,Wood,southamerica_arge017,890.0,-39.68333333333333,-71.21666666666667,EstanciaMamuil-Malal,N/A,N/A,temperature+moisture,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge017-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge018,Wood,southamerica_arge018,1330.0,-39.21666666666667,-71.16666666666667,LagoRucachoroi,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge018-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge019,Wood,southamerica_arge019,1330.0,-39.21666666666667,-71.16666666666667,LagoRucachoroi,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge019-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,AUCH,standardized_anomalies,ring width,CE
FE23_southamerica_arge020,Wood,southamerica_arge020,1010.0,-39.6,-71.36666666666666,LagoTromen,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge020-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge021,Wood,southamerica_arge021,1400.0,-37.06666666666667,-70.6,Huinganco,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge021-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,AUCH,standardized_anomalies,ring width,CE
FE23_southamerica_arge022,Wood,southamerica_arge022,200.0,-54.516666666666666,-67.41666666666667,AserraderoIslaGrande,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge022-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Boninsegna,ring width,NOPU,standardized_anomalies,ring width,CE
FE23_southamerica_arge023,Wood,southamerica_arge023,600.0,-45.916666666666664,-71.75,Balmaceda,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge023-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Roig,ring width,NOPU,standardized_anomalies,ring width,CE
FE23_southamerica_arge024,Wood,southamerica_arge024,60.0,-54.833333333333336,-64.33333333333333,BahiaYork,N/A,N/A,NOT temperature NOT moisture,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge024-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Keegan,ring width,NOBE,standardized_anomalies,ring width,CE
FE23_southamerica_arge025,Wood,southamerica_arge025,2800.0,-32.68333333333333,-69.11666666666666,Bonilla,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge025-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Roig,ring width,ADUS,standardized_anomalies,ring width,CE
FE23_southamerica_arge026,Wood,southamerica_arge026,35.0,-54.833333333333336,-65.2,BahiadelBuenSuceso,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge026-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Boninsegna,ring width,NOBE,standardized_anomalies,ring width,CE
FE23_southamerica_arge027,Wood,southamerica_arge027,1100.0,-41.25,-71.75,CastanoOveroMaduro,N/A,N/A,temperature,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge027-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Keegan,ring width,NOPU,standardized_anomalies,ring width,CE
