"site_id","entity_id","entity_name","entity_status","corresponding_current","persist_id","depth_ref","geology","rock_age","wokam","vegetation_type","land_use","copernicus_lcc","cover_type","cover_thickness","host_rock_trace_elements","drip_water_trace_elements","distance_entrance","speleothem_type","drip_type","drip_height","d13C","d18O","iso_std","d18O_water_equilibrium","d18O_dripwater_carbonate_difference","organics","fluid_inclusions","mineralogy_petrology_fabric","clumped_isotopes","noble_gas_temperatures","C14","ODL","Sr_Ca","Sr_Ca_method","Sr_Ca_std","Sr_Ca_downsampled","Sr_Ca_downsampling_method","Mg_Ca","Mg_Ca_method","Mg_Ca_std","Mg_Ca_downsampled","Mg_Ca_downsampling_method","Ba_Ca","Ba_Ca_method","Ba_Ca_std","Ba_Ca_downsampled","Ba_Ca_downsampling_method","U_Ca","U_Ca_method","U_Ca_std","U_Ca_downsampled","U_Ca_downsampling_method","P_Ca","P_Ca_method","P_Ca_std","P_Ca_downsampled","P_Ca_downsampling_method","Sr_isotopes","Sr_isotopes_method","Sr_isotopes_std","trace_elements_datafile","trace_elements_metadatafile","cave_map","entity_scan","contact","data_DOI_URL"
316,783,"HBSH-1","current",NA,"316-HBSH1","from top","limestone","Devonian","discontinuous carbonate","deciduous","forest","open forest, mixed","unknown",NA,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"no",NA,NA,NA,NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"no",NA,NA,"yes","no","no","yes","Michael Weber",NA
316,784,"HBSH-3","current",NA,"316-HBSH3","from top","limestone","Devonian","discontinuous carbonate","deciduous","forest","open forest, mixed","unknown",NA,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"no",NA,NA,NA,NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","other (see notes)","SrCO3 (NIST SRM 987)","no","no","no","yes","Michael Weber",NA
316,785,"HBSH-4","current",NA,"316-HBSH4","from top","limestone","Devonian","discontinuous carbonate","deciduous","forest","open forest, mixed","unknown",NA,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes","other (see notes)","SrCO3 (NIST SRM 987)","no","no","no","yes","Michael Weber",NA
316,786,"HBSH-5","current",NA,"316-HBSH5","from top","limestone","Devonian","discontinuous carbonate","deciduous","forest","open forest, mixed","unknown",NA,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"no",NA,NA,NA,NA,"yes","LA-ICP-MS","NIST SRM 612","No-not applicable",NA,"yes","other (see notes)","SrCO3 (NIST SRM 987)","no","no","no","yes","Michael Weber",NA
42,787,"IFK2","current",NA,"42-IFK2","from top","dolomite limestone","Jurassic",NA,"sparse","forest","open forest, other","patchy",NA,"no","no",NA,"stalagmite","seasonal drip",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Lijuan Sha, Khalil Azennoud",NA
317,788,"JJ0406","current",NA,"317-JJ0406","from top","unknown","unknown",NA,"deciduous","forest","closed forest, evergreen broad leaf","unknown",80,"unknown","unknown",2800,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","yes","yes","yes","yes","unknown","unknown","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Jun Hu, Nikita Kaushal",NA
317,789,"JJ0403","current",NA,"317-JJ0403","from top","unknown","unknown",NA,"deciduous","forest","closed forest, evergreen broad leaf","unknown",80,"unknown","unknown",2800,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","yes","yes","yes","yes","unknown","unknown","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Jun Hu, Nikita Kaushal",NA
318,790,"J12","current",NA,"318-J12","from top","limestone","Permian","discontinuous carbonate","unknown","unknown","closed forest, evergreen broad leaf","unknown",NA,"unknown","unknown",100,"stalagmite","unknown",NA,"no","yes","Vienna-PDB","unknown",NA,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Nikita Kaushal","https://www.ncei.noaa.gov/access/paleo-search/study/26510"
318,791,"J13","current",NA,"318-J13","from top","limestone","Permian","discontinuous carbonate","unknown","unknown","closed forest, evergreen broad leaf","unknown",NA,"unknown","unknown",1200,"stalagmite","unknown",NA,"no","yes","Vienna-PDB","unknown",NA,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Nikita Kaushal","https://www.ncei.noaa.gov/access/paleo-search/study/26510"
319,792,"JL1","current",NA,"319-JL1","from top","limestone","Miocene","discontinuous carbonate","shrubland","forest","closed forest, evergreen broad leaf","thick",NA,"no","no",NA,"stalagmite","seepage flow",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Nikita Kaushal",NA
