"site_id","site_name","latitude","longitude","elevation","monitoring"
152,"Hoti cave",23.0833,57.35,800,"no"
153,"Jhumar cave",18.8667,81.8667,600,"yes"
154,"Jiuxian cave",33.5667,109.1,1495,"no"
155,"KNI-51",-15.3,128.62,100,"yes"
156,"Mavri Trypa cave",36.736,21.7596,70,"no"
157,"Munagamanu cave",15.15,77.92,475,"no"
158,"Nettlebed cave",-41.23,172.68,390,"no"
159,"Qunf cave",17.1667,54.3,650,"no"
160,"Soreq cave",31.7558,35.0226,400,"yes"
161,"Aurora cave",-45.2953,167.6979,260,"unknown"
162,"Calcite cave (Mt Luxmore, Fiordland)",-46.02,167.74,1025,"unknown"
163,"Gardener's Gut",-38.25,175.02,90,"unknown"
164,"Max's cave",-38.2667,175.0167,325,"unknown"
165,"Ruakuri cave",-36.27,175.08,80,"unknown"
166,"Te Reinga cave",-38.82,177.52,100,"unknown"
167,"Waiau cave",-46,167.73,100,"unknown"
168,"Wazpretti cave",-42.1,171.4,95,"unknown"
169,"Doubtful Xanadu",-45.3735,167.0476,960,"unknown"
170,"Defore cave",17.1667,54.0833,150,"no"
171,"Devils Hole",36.4254,-116.2915,719,"unknown"
172,"Wolkberg cave",-24.1,29.88,1450,"no"
173,"Perdida cave",18,-67,350,"yes"
174,"Zhuliuping cave",26.0167,104.095,1217,"unknown"
175,"Yaoba Don cave",28.8,109.83,420,"unknown"
176,"Qingtian cave",31.3333,110.3667,1630,"no"
177,"Santo Tomas cave",22.55,-83.84,170,"no"
178,"Yamen cave",25.4833,107.9,570,"unknown"
179,"Closani cave",45.1,22.8,433,"yes"
180,"Chillagoe cave",-17.2,144.6,489,"no"
181,"Forestry cave",-9.489,159.974,200,"no"
182,"Kotumsar cave",19,82,32,"no"
183,"Dos Anas cave",22.38,-83.97,120,"yes"
184,"Cape range",-22.1,114,100,"no"
185,"Beatus cave",46.6847,7.7819,875,"unknown"
186,"Bribin cave",-8.05,110.633,500,"no"
187,"Cesare Battisti cave",46.13,11.03,1880,"yes"
188,"Chan Hol cave",20.16,-87.57,-8.5,"no"
189,"Chen Ha cave",16.6769,-89.0925,550,"no"
190,"Cold Water cave",43.4678,-91.975,356,"unknown"
191,"Devil's Icebox cave",38.15,-92.05,250,"unknown"
192,"El Condor cave",-5.93,-77.3,860,"unknown"
193,"Frasassi cave system - Grotta Grande del Vento",43.4008,12.9619,257,"yes"
194,"Goshute cave",40.0333,-114.7833,2000,"unknown"
195,"Harrison's cave",13.2,-59.6,300,"yes"
196,"Karaca cave",40.5443,39.4029,1536,"no"
197,"Klaus Cramer cave",47.26,9.52,1964,"unknown"
198,"Lianhua cave, Hunan",29.48,109.5333,455,"no"
199,"Lynds cave",-41.58,146.25,300,"no"
200,"Minnetonka cave",42.0875,-111.519,2347,"yes"
201,"Moondyne cave",-34.27,115.08,100,"no"
202,"Piani Eterni karst system",46.16,11.99,1893,"no"
203,"Poleva cave",44.7144,21.7469,390,"no"
204,"Xibalba cave",16.5,-89,350,"unknown"
205,"São Bernardo cave",-13.81,-46.35,631,"yes"
206,"São Matheus cave",-13.81,-46.35,631,"no"
